observation_date,GDP,GS10,FEDFUNDS,MCOILWTICO
2000-11-01,0.003762719973137152,-0.0051590828100274155,0.28000000000000025,0.03880243922423876
2000-12-01,0.0011009602853047085,-0.01039870722089864,0.11999999999999922,-0.1908411858483534
2001-01-01,0.0010997495046556338,-0.0034904049397685988,0.16999999999999993,0.03963986147707832
2001-02-01,0.001098541384189744,-0.08764730705875556,0.25,0.0006756757013817172
2001-03-01,0.004091147340487211,-0.015384918839479456,0.2600000000000007,-0.08305862100424699
2001-04-01,0.004074478027384032,-0.011696039763191335,0.009999999999999787,0.008768781067901354
2001-05-01,0.004057944000937397,-0.042048236243499515,-0.040000000000000036,0.04063281693286935
2001-06-01,-3.08209926220826e-05,0.04986077598029315,0.019999999999999574,-0.036639346386919236
2001-07-01,-3.0821942582193174e-05,0.047492305453832095,-0.009999999999999787,-0.043316044106906926
2001-08-01,-3.0822892606252594e-05,-0.020619287202735537,0.0,0.03494779443639029
2001-09-01,0.001962119897411796,-0.007604599385219402,-0.10999999999999943,-0.04368811228553682
2001-10-01,0.0019582775208935033,-0.052901658224413506,-0.41999999999999993,-0.16701938713883102
2001-11-01,0.0019544501638506517,-0.049494637604695635,-0.4900000000000002,-0.1211717207019003
2001-12-01,0.003839699376943173,-0.034411997597728394,-0.1800000000000006,-0.01281083367175917
2002-01-01,0.0038250124610037517,0.017354014693151676,-0.5099999999999998,0.01687587991992867
2002-02-01,0.003810437472488104,0.09041061096316638,-0.5899999999999999,0.04946606821679289
2002-03-01,0.0032083991465725603,-0.009871748479154174,-0.23999999999999977,0.16879744087911597
2002-04-01,0.003198138233818426,-0.02613214027684796,-0.20000000000000018,0.06509890221135572
2002-05-01,0.003187942743579697,0.07265215591174101,-0.1200000000000001,0.03232149069300938
2002-06-01,0.002952555547228286,-0.013346241952894689,-0.5800000000000001,-0.05785479269817406
2002-07-01,0.0029438636200680435,-0.009643276271804169,-0.5799999999999996,0.055262678675049415
2002-08-01,0.002935222718470243,-0.04559759143887265,-0.40000000000000036,0.051311833333241186
2002-09-01,0.0023458963342921635,-0.05847176845533375,-0.2699999999999998,0.043762366224906035
2002-10-01,0.0023404059819647216,-0.08759805931798592,-0.09000000000000008,-0.02803602429303753
2002-11-01,0.0023349412689626092,-0.09601465323958869,0.010000000000000009,-0.09029503742937672
2002-12-01,0.003390310301297106,0.017926216268152162,-0.010000000000000009,0.11156513604711282
2003-01-01,0.003378854923706598,0.0275361578086053,0.020000000000000018,0.1119578499140319
2003-02-01,0.00336747669769899,-0.004950505159856178,0.0,0.08379427036834608
2003-03-01,0.004127125869972659,0.004950505159856178,0.0,-0.06694162956764327
